%time,field.seq,field.stamp,field.frame_id
1481431653285347938,26193,1468242499742000000,/camera
1481431653317270994,26194,1468242499776000000,/camera
1481431653352304935,26195,1468242499809000000,/camera
1481431653384104967,26196,1468242499842000000,/camera
1481431653422075033,26197,1468242499876000000,/camera
1481431653452749967,26198,1468242499909000000,/camera
1481431653483017921,26199,1468242499942000000,/camera
1481431653516737937,26200,1468242499976000000,/camera
1481431653550333976,26201,1468242500009000000,/camera
1481431653587582111,26202,1468242500042000000,/camera
1481431653617386102,26203,1468242500076000000,/camera
1481431653651141881,26204,1468242500109000000,/camera
1481431653683559894,26205,1468242500142000000,/camera
1481431653715699911,26206,1468242500176000000,/camera
1481431653757077932,26207,1468242500209000000,/camera
1481431653785474061,26208,1468242500242000000,/camera
1481431653815767049,26209,1468242500275000000,/camera
1481431653850081920,26210,1468242500309000000,/camera
1481431653883508920,26211,1468242500342000000,/camera
1481431653921371936,26212,1468242500375000000,/camera
1481431653951848983,26213,1468242500409000000,/camera
1481431653982199907,26214,1468242500442000000,/camera
1481431654017988920,26215,1468242500475000000,/camera
1481431654052632093,26216,1468242500509000000,/camera
1481431654095068931,26217,1468242500542000000,/camera
1481431654123169898,26218,1468242500575000000,/camera
1481431654151922941,26219,1468242500609000000,/camera
1481431654186158895,26220,1468242500642000000,/camera
1481431654217398881,26221,1468242500675000000,/camera
1481431654256340026,26222,1468242500709000000,/camera
1481431654286847114,26223,1468242500742000000,/camera
1481431654315872907,26224,1468242500775000000,/camera
1481431654351617097,26225,1468242500809000000,/camera
1481431654383642911,26226,1468242500842000000,/camera
1481431654420747995,26227,1468242500875000000,/camera
1481431654454138040,26228,1468242500909000000,/camera
1481431654483494997,26229,1468242500942000000,/camera
1481431654515650987,26230,1468242500975000000,/camera
1481431654552073001,26231,1468242501008000000,/camera
1481431654587019920,26232,1468242501042000000,/camera
1481431654618568897,26233,1468242501075000000,/camera
1481431654655606031,26234,1468242501108000000,/camera
1481431654684329032,26235,1468242501142000000,/camera
1481431654717202901,26236,1468242501175000000,/camera
1481431654759001016,26237,1468242501208000000,/camera
1481431654784405946,26238,1468242501242000000,/camera
1481431654815612077,26239,1468242501275000000,/camera
1481431654853209972,26240,1468242501308000000,/camera
1481431654883435964,26241,1468242501342000000,/camera
1481431654916296958,26242,1468242501375000000,/camera
1481431654952414035,26243,1468242501408000000,/camera
1481431654982878923,26244,1468242501442000000,/camera
1481431655016413927,26245,1468242501475000000,/camera
1481431655054079055,26246,1468242501508000000,/camera
1481431655087426900,26247,1468242501542000000,/camera
1481431655119721889,26248,1468242501575000000,/camera
1481431655151774883,26249,1468242501608000000,/camera
1481431655185928106,26250,1468242501642000000,/camera
1481431655216778993,26251,1468242501675000000,/camera
1481431655254991054,26252,1468242501708000000,/camera
1481431655283318996,26253,1468242501741000000,/camera
1481431655321173906,26254,1468242501775000000,/camera
1481431655354216098,26255,1468242501808000000,/camera
1481431655384977102,26256,1468242501841000000,/camera
1481431655416064977,26257,1468242501875000000,/camera
1481431655455060005,26258,1468242501908000000,/camera
1481431655483481884,26259,1468242501941000000,/camera
